"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bhutan","BTN","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1440.8","1440","1438.8","1439.4","1437.5","1437.7","1435.1","1432.7","1435.2","1436.7","1437","1441","1439.7","1442.6","1447.9","1438.9","1444.4","1443.3","1434.2","1425","1457.7","1445.3","1429","1442.3","1386.1","1371.9","1181.9","1019.7","1015.2","1279.8","1027.5","1063.6","1164.2","1281.1","1365.8","1467.5","1541","1559.5","1506.7","1437.9","1449.4","1549","1791.3","2995.2","2334.9","2199.7","1999.2","2741.5","2160.4","2469.1","2801.7","2944.2","3226.4","3254.9","3475.8","3373.4","3411.5","3416.5","3082.1","3436","3343.2","3447.8","3463.8","",
"Botswana","BWA","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","341.8","339.6","382.8","275.9","329.8","439.9","316.9","261.6","309.6","63.2","448","948.5","275.6","691","446.2","643.2","415.1","268.7","132.3","237.2","275.2","287.9","265.3","150.7","200.7","198.5","190.7","375.6","288.9","265.5","381.3","288.7","424.3","223.8","458.4","323.4","276.8","246.7","228.5","203.7","338.2","357.3","394.4","274.3","312.8","372.4","395.5","360.8","363.6","371.6","452.3","367.2","217.6","305.2","415.3","361.5","316.6","396.2","384.3","502.9","562.9","407.8","468.9","",
"Central African Republic","CAF","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","443","540.9","543.9","661.6","790.2","806.6","728.5","814","783.3","712.4","717.9","696.2","682.8","502.6","533.5","526","522.5","595.4","497.2","521","569.6","559.3","674.6","772.1","1076.9","1189.3","958.4","1112.3","1078.6","809.9","893.4","1005.9","989.7","876.4","869.2","882.7","947.9","989.2","1006.8","993.3","1032.6","1048.3","1009.5","1007.7","1018.2","989.7","951.2","946.8","948.4","907.7","965.7","942","910.9","896","884.1","875.1","871.5","863.8","859.3","713","807.2","830","878.1","",
"Canada","CAN","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","985","1595.4","1838.9","1527.2","1730.4","1972.7","1519","1734.5","1959.2","2110.8","2145.2","1987.7","1951.3","1726.7","2052.2","2275.8","2265.9","2267.4","2032.7","2141.2","2346.4","2482.8","2204.6","2028","2222.1","2570.4","2396.6","1754.4","2193.6","2636.3","2580.5","2460.3","2647","2594.5","2699.8","2844.2","2584.6","2782.6","3087.8","2805.7","2446.8","2375.4","2758.8","3141.9","3215.9","3046.3","2973.4","3391.7","3299.5","3501.1","3552.4","3456.3","4160.4","3647","3673","4239.1","4104.8","3914.7","4010.8","4091.9","3119.8","4078.7","3694.7","",
"Central Europe and the Baltics","CEB","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1702.2591566836","1648.9688852762","1730.87372023365","1763.01982043855","1997.14153813253","2132.04162551461","2167.64834028646","2161.95404946281","2286.37653087507","2126.70224970018","2567.78406457966","2791.21271287462","2820.45723234941","2877.2355019232","2810.44904922802","3107.49970504072","2962.24409812755","3144.38761419434","2917.08140479664","3076.5247564427","3021.3869457212","3449.91963919805","3201.13907901902","3578.0361956794","3302.53765063655","3478.62432161295","3356.65886272015","3446.12033640599","3625.49398866043","3454.58779097443","3614.39496550066","2518.98596585403","2772.99450708084","2944.85729082116","3225.7967687442","2970.86516077687","3421.99715349327","3192.28311374895","3288.74934764475","2662.67088574039","3383.26586564786","3259.86234605214","2862.67635563354","4128.80164268194","3740.74508423513","3285.7149286205","3009.3643364655","3911.42549688155","3660.70902019653","3764.98206051013","4037.07936040773","3491.5622836882","4149.56136168447","4656.46074237987","4255.41241111787","4617.85283482632","4868.75539593912","4708.74790909173","4843.27593030782","4754.23590815757","5106.54021323608","4524.10338144774","","",
"Switzerland","CHE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","2872.6","3776.9","2936.1","3627.4","3212.2","3305.7","3983.4","3852.2","3651.4","3692.5","4282.9","4079.6","4198.3","4766.9","4256.9","4530.2","4004.4","4815.8","5078.4","4623.7","4948.1","5279.9","5071","6162.9","5720.6","5090.7","5043.2","6328.9","6780.9","5983.9","6103.6","5877.4","6209","5807.6","6068.8","6706.8","6407","6641","5643.1","6402.2","6011.9","6269.8","5086.5","6732.5","6300.4","6165","6418.5","6413.1","6578.3","6093.9","6874.6","6464.3","5945.6","7044.6","6431.9","5154.6","6800.2","6332.3","6580.8","6978","5515.8","6081.1","5706","",
"Channel Islands","CHI","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1441.3","1371.7","1574.7","1677.3","1691.9","1897.4","1951.6","1945.5","1671.6","1902.3","1994.4","1860.4","1683.3","1881","1722.9","1451","2130","1732.8","2191.5","2059.3","2120.5","2203.6","2261.5","2704.1","2949.1","3355.3","3222.6","3531.6","3914.7","3619.7","4050.9","4177.4","4246","4489.3","4472.5","4264.3","4507.5","5052","4061.1","4362.1","4935.7","5183.3","5390","5657.5","5811.2","5998.3","5744.3","5844.4","5462.3","6815.4","6927.8","6229.6","6913.2","6128.4","7082.3","6858.2","6779.4","7144.3","7157.2","6245.8","6491.2","6113.9","6382.3","",
"China","CHN","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1192.7","1323.1","1490.7","1622.7","1746.5","1879.1","1935.7","1939.4","1900.4","2127.7","2174","2106.5","2275.7","2389.2","2480.4","2522.3","2486.9","2791.8","3032.5","2937.3","3081.6","3456","3716.1","3954.9","3820.5","3889.9","3973.1","3930.6","4014.7","4306.5","4231.4","4361.6","4562.1","4504.9","4659.3","4891.6","4813.2","4952.8","4944.9","4752.6","4800.3","4869.1","4871.1","5186.8","5224.6","5313.4","5320.6","5549.7","5449.6","5527.5","5710","5828.7","5897.7","5896.3","5985.2","6018.6","6110.8","6122","6265.1","6296.1","6317.5","6381.3","6418.1","",
"Cote d'Ivoire","CIV","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","624.2","785.7","751.9","774.9","785.5","840.7","888.9","877.8","845.1","828.6","1000.3","823.8","840.6","885.1","820.5","749.3","753.7","753.3","762.6","927.4","897.8","949","784.7","970.8","986.7","851.5","847.6","885.1","882.7","1112.5","1052.8","1050.8","1235.4","1131","1141.7","1389","1286.7","1498.6","1645.7","1682.3","1719.9","1750.9","1827","1853.9","1836.3","1827.9","1569.4","1735","1711.5","2270.5","1882.8","2079.8","2176.6","2206.9","2200.3","2219.8","2247.4","2254.4","2233.6","2248.7","2255.1","2326.7","2397.8","",
